date_time,Month,Day,Year,Average_Rate_kW,Day,Week,Use_kWh
12/21/2010 0:00,12,21,2010,96.77,3,0,24.1925
12/21/2010 0:15,12,21,2010,103.68,3,0,25.92
12/21/2010 0:30,12,21,2010,103.68,3,0,25.92
12/21/2010 0:45,12,21,2010,103.68,3,0,25.92
12/21/2010 1:00,12,21,2010,96.77,3,1,24.1925
12/21/2010 1:15,12,21,2010,96.77,3,1,24.1925
12/21/2010 1:30,12,21,2010,103.68,3,1,25.92
12/21/2010 1:45,12,21,2010,96.77,3,1,24.1925
12/21/2010 2:00,12,21,2010,96.77,3,2,24.1925
12/21/2010 2:15,12,21,2010,103.68,3,2,25.92
12/21/2010 2:30,12,21,2010,103.68,3,2,25.92
12/21/2010 2:45,12,21,2010,96.77,3,2,24.1925
12/21/2010 3:00,12,21,2010,103.68,3,3,25.92
12/21/2010 3:15,12,21,2010,96.77,3,3,24.1925
12/21/2010 3:30,12,21,2010,110.59,3,3,27.6475
12/21/2010 3:45,12,21,2010,103.68,3,3,25.92
12/21/2010 4:00,12,21,2010,96.77,3,4,24.1925
12/21/2010 4:15,12,21,2010,103.68,3,4,25.92
12/21/2010 4:30,12,21,2010,96.77,3,4,24.1925
12/21/2010 4:45,12,21,2010,103.68,3,4,25.92
12/21/2010 5:00,12,21,2010,96.77,3,5,24.1925
12/21/2010 5:15,12,21,2010,103.68,3,5,25.92
12/21/2010 5:30,12,21,2010,96.77,3,5,24.1925
12/21/2010 5:45,12,21,2010,96.77,3,5,24.1925
12/21/2010 6:00,12,21,2010,103.68,3,6,25.92
12/21/2010 6:15,12,21,2010,96.77,3,6,24.1925
12/21/2010 6:30,12,21,2010,103.68,3,6,25.92
12/21/2010 6:45,12,21,2010,103.68,3,6,25.92
12/21/2010 7:00,12,21,2010,103.68,3,7,25.92
12/21/2010 7:15,12,21,2010,200.45,3,7,50.1125
12/21/2010 7:30,12,21,2010,200.45,3,7,50.1125
12/21/2010 7:45,12,21,2010,193.54,3,7,48.385
12/21/2010 8:00,12,21,2010,193.54,3,8,48.385
12/21/2010 8:15,12,21,2010,186.62,3,8,46.655
12/21/2010 8:30,12,21,2010,186.62,3,8,46.655
12/21/2010 8:45,12,21,2010,186.62,3,8,46.655
12/21/2010 9:00,12,21,2010,186.62,3,9,46.655
12/21/2010 9:15,12,21,2010,186.62,3,9,46.655
12/21/2010 9:30,12,21,2010,179.71,3,9,44.9275
12/21/2010 9:45,12,21,2010,186.62,3,9,46.655
12/21/2010 10:00,12,21,2010,186.62,3,10,46.655
12/21/2010 10:15,12,21,2010,179.71,3,10,44.9275
12/21/2010 10:30,12,21,2010,186.62,3,10,46.655
12/21/2010 10:45,12,21,2010,179.71,3,10,44.9275
12/21/2010 11:00,12,21,2010,186.62,3,11,46.655
12/21/2010 11:15,12,21,2010,186.62,3,11,46.655
12/21/2010 11:30,12,21,2010,186.62,3,11,46.655
12/21/2010 11:45,12,21,2010,186.62,3,11,46.655
12/21/2010 12:00,12,21,2010,186.62,3,12,46.655
12/21/2010 12:15,12,21,2010,179.71,3,12,44.9275
12/21/2010 12:30,12,21,2010,186.62,3,12,46.655
12/21/2010 12:45,12,21,2010,179.71,3,12,44.9275
12/21/2010 13:00,12,21,2010,186.62,3,13,46.655
12/21/2010 13:15,12,21,2010,179.71,3,13,44.9275
12/21/2010 13:30,12,21,2010,186.62,3,13,46.655
12/21/2010 13:45,12,21,2010,179.71,3,13,44.9275
12/21/2010 14:00,12,21,2010,179.71,3,14,44.9275
12/21/2010 14:15,12,21,2010,172.8,3,14,43.2
12/21/2010 14:30,12,21,2010,179.71,3,14,44.9275
12/21/2010 14:45,12,21,2010,179.71,3,14,44.9275
12/21/2010 15:00,12,21,2010,172.8,3,15,43.2
12/21/2010 15:15,12,21,2010,179.71,3,15,44.9275
12/21/2010 15:30,12,21,2010,172.8,3,15,43.2
12/21/2010 15:45,12,21,2010,172.8,3,15,43.2
12/21/2010 16:00,12,21,2010,172.8,3,16,43.2
12/21/2010 16:15,12,21,2010,172.8,3,16,43.2
12/21/2010 16:30,12,21,2010,172.8,3,16,43.2
12/21/2010 16:45,12,21,2010,165.89,3,16,41.4725
12/21/2010 17:00,12,21,2010,172.8,3,17,43.2
12/21/2010 17:15,12,21,2010,172.8,3,17,43.2
12/21/2010 17:30,12,21,2010,172.8,3,17,43.2
12/21/2010 17:45,12,21,2010,165.89,3,17,41.4725
12/21/2010 18:00,12,21,2010,172.8,3,18,43.2
12/21/2010 18:15,12,21,2010,165.89,3,18,41.4725
12/21/2010 18:30,12,21,2010,165.89,3,18,41.4725
12/21/2010 18:45,12,21,2010,165.89,3,18,41.4725
12/21/2010 19:00,12,21,2010,165.89,3,19,41.4725
12/21/2010 19:15,12,21,2010,165.89,3,19,41.4725
12/21/2010 19:30,12,21,2010,165.89,3,19,41.4725
12/21/2010 19:45,12,21,2010,165.89,3,19,41.4725
12/21/2010 20:00,12,21,2010,165.89,3,20,41.4725
12/21/2010 20:15,12,21,2010,158.98,3,20,39.745
12/21/2010 20:30,12,21,2010,165.89,3,20,41.4725
12/21/2010 20:45,12,21,2010,158.98,3,20,39.745
12/21/2010 21:00,12,21,2010,158.98,3,21,39.745
12/21/2010 21:15,12,21,2010,158.98,3,21,39.745
12/21/2010 21:30,12,21,2010,158.98,3,21,39.745
12/21/2010 21:45,12,21,2010,158.98,3,21,39.745
12/21/2010 22:00,12,21,2010,165.89,3,22,41.4725
12/21/2010 22:15,12,21,2010,110.59,3,22,27.6475
12/21/2010 22:30,12,21,2010,96.77,3,22,24.1925
12/21/2010 22:45,12,21,2010,103.68,3,22,25.92
12/21/2010 23:00,12,21,2010,96.77,3,23,24.1925
12/21/2010 23:15,12,21,2010,96.77,3,23,24.1925
12/21/2010 23:30,12,21,2010,96.77,3,23,24.1925
12/21/2010 23:45,12,21,2010,103.68,3,23,25.92
12/22/2010 0:00,12,22,2010,96.77,4,0,24.1925
12/22/2010 0:15,12,22,2010,96.77,4,0,24.1925
12/22/2010 0:30,12,22,2010,96.77,4,0,24.1925
12/22/2010 0:45,12,22,2010,96.77,4,0,24.1925
12/22/2010 1:00,12,22,2010,96.77,4,1,24.1925
12/22/2010 1:15,12,22,2010,96.77,4,1,24.1925
12/22/2010 1:30,12,22,2010,96.77,4,1,24.1925
12/22/2010 1:45,12,22,2010,96.77,4,1,24.1925
12/22/2010 2:00,12,22,2010,96.77,4,2,24.1925
12/22/2010 2:15,12,22,2010,96.77,4,2,24.1925
12/22/2010 2:30,12,22,2010,96.77,4,2,24.1925
12/22/2010 2:45,12,22,2010,96.77,4,2,24.1925
12/22/2010 3:00,12,22,2010,96.77,4,3,24.1925
12/22/2010 3:15,12,22,2010,103.68,4,3,25.92
12/22/2010 3:30,12,22,2010,96.77,4,3,24.1925
12/22/2010 3:45,12,22,2010,96.77,4,3,24.1925
12/22/2010 4:00,12,22,2010,96.77,4,4,24.1925
12/22/2010 4:15,12,22,2010,96.77,4,4,24.1925
12/22/2010 4:30,12,22,2010,96.77,4,4,24.1925
12/22/2010 4:45,12,22,2010,96.77,4,4,24.1925
12/22/2010 5:00,12,22,2010,89.86,4,5,22.465
12/22/2010 5:15,12,22,2010,103.68,4,5,25.92
12/22/2010 5:30,12,22,2010,89.86,4,5,22.465
12/22/2010 5:45,12,22,2010,96.77,4,5,24.1925
12/22/2010 6:00,12,22,2010,96.77,4,6,24.1925
12/22/2010 6:15,12,22,2010,96.77,4,6,24.1925
12/22/2010 6:30,12,22,2010,103.68,4,6,25.92
12/22/2010 6:45,12,22,2010,96.77,4,6,24.1925
