
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 12/07/2011

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
1897664189            11/29/2011  01/03/2012        1315.48
0823337506            12/02/2011  01/06/2012           8.63
1765582505            12/02/2011  01/06/2012         168.43
1863767503            12/02/2011  01/06/2012          75.12
1973380007            12/02/2011  01/06/2012         220.49
2073392504            12/02/2011  01/06/2012         173.97
2123460004            12/02/2011  01/06/2012          53.45
2154604132            12/02/2011  01/06/2012         146.23
3341907974            12/02/2011  01/06/2012          27.72
3355630009            12/02/2011  01/06/2012          18.54
3675982502            12/02/2011  01/06/2012          28.42
4793367501            12/02/2011  01/06/2012         131.03
5033402503            12/02/2011  01/06/2012          15.56
5163527509            12/02/2011  01/06/2012          32.37
5316252500            12/02/2011  01/06/2012       10145.62
5321630005            12/02/2011  01/06/2012         125.50
5341575008            12/02/2011  01/06/2012          80.16
5431647501            12/02/2011  01/06/2012        1346.14
5498080240            12/02/2011  01/06/2012         204.16
5593500001            12/02/2011  01/06/2012          14.86
5611957373            12/02/2011  01/06/2012           8.02
6124540409            12/02/2011  01/06/2012          90.86
6137557531            12/02/2011  01/06/2012          69.48
6433295000            12/02/2011  01/06/2012          47.02
6651850288            12/02/2011  01/06/2012          66.02
6733352501            12/02/2011  01/06/2012          44.28
6923515008            12/02/2011  01/06/2012          50.00
7005172502            12/02/2011  01/06/2012         214.94
7122056133            12/02/2011  01/06/2012           6.06
7241105886            12/02/2011  01/06/2012          28.74
8973730404            12/02/2011  01/06/2012         197.18
9562096736            12/02/2011  01/06/2012         129.15
9598044056            12/02/2011  01/06/2012           5.95
9995390003            12/02/2011  01/06/2012          92.55
4626102505            12/05/2011  01/09/2012          60.37
5246257504            12/05/2011  01/09/2012        2921.80
5411705006            12/05/2011  01/09/2012         125.87
6611367506            12/05/2011  01/09/2012         230.87
7152308461            12/05/2011  01/09/2012        2839.09
8371427504            12/05/2011  01/09/2012        1112.31
8381307506            12/05/2011  01/09/2012         569.77
9273322504            12/05/2011  01/09/2012         560.28

42 VA Dominion Invoices for a Total Invoice Amount of $23802.49

42 Total Alexandria Invoices for a Total Invoice Amount of $23802.49

Organization:   Total

42 Total Invoices for a Total Invoice Amount of $23802.49

