
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 04/11/2012

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
1011348529            04/03/2012  05/08/2012         716.05
5246257504            04/03/2012  05/08/2012        2658.56
5411705006            04/03/2012  05/08/2012         178.83
6533151400            04/03/2012  05/08/2012       11270.58
6611367506            04/03/2012  05/08/2012         172.56
7152308461            04/03/2012  05/08/2012        2541.61
8371427504            04/03/2012  05/08/2012        1154.59
8381307506            04/03/2012  05/08/2012         405.79
9273322504            04/03/2012  05/08/2012         444.19
9596382508            04/03/2012  05/08/2012       15114.53
0215490004            04/04/2012  05/09/2012          92.64
0851910000            04/04/2012  05/09/2012        1145.86
1704970001            04/04/2012  05/09/2012          69.38
1735865006            04/04/2012  05/09/2012         185.66
2186032500            04/04/2012  05/09/2012        1216.67
3033837505            04/04/2012  05/09/2012         378.61
3419594464            04/04/2012  05/09/2012        3401.45
3870683699            04/04/2012  05/09/2012          91.55
4676162508            04/04/2012  05/09/2012          39.53
5210403555            04/04/2012  05/09/2012         445.13
5265675008            04/04/2012  05/09/2012         198.32
5746157501            04/04/2012  05/09/2012          48.51
5837025922            04/04/2012  05/09/2012         136.61
6395925008            04/04/2012  05/09/2012         261.23
6604225000            04/04/2012  05/09/2012           5.66
8486060000            04/04/2012  05/09/2012         705.89
8555470007            04/04/2012  05/09/2012          52.91
8975650279            04/04/2012  05/09/2012           8.75
9006000005            04/04/2012  05/09/2012         209.53
9026057506            04/04/2012  05/09/2012         375.23
9423383257            04/04/2012  05/09/2012         164.28
9581789907            04/04/2012  05/09/2012          18.53
0313545006            04/05/2012  05/10/2012         193.83
0551576051            04/05/2012  05/10/2012          21.64
1156320002            04/05/2012  05/10/2012        3534.24
1545407502            04/05/2012  05/10/2012         144.41
2865622506            04/05/2012  05/10/2012         124.12
4696475005            04/05/2012  05/10/2012       25864.16
5658873640            04/05/2012  04/30/2012         692.47
6414967502            04/05/2012  05/10/2012          25.79
6626365008            04/05/2012  05/10/2012        9113.42
6976229325            04/05/2012  05/10/2012           5.66
7146330001            04/05/2012  05/10/2012        2494.05
7352631019            04/05/2012  05/10/2012        2298.45
8703872054            04/05/2012  05/10/2012         788.00
8955365005            04/05/2012  05/10/2012         788.92
0662927573            04/09/2012  05/14/2012        2334.09
1043295003            04/09/2012  05/14/2012           5.66
1312808247            04/09/2012  05/14/2012          46.80
1856265002            04/09/2012  05/14/2012        3372.82
2040619443            04/09/2012  05/14/2012        6667.08
2174476057            04/09/2012  05/14/2012          95.76
2225822507            04/09/2012  05/14/2012         278.82
2923347955            04/09/2012  05/14/2012         132.81
3103257501            04/09/2012  05/14/2012         257.17
3470617501            04/09/2012  05/14/2012         125.81
4452642962            04/05/2012  05/10/2012       17906.13
4802659823            04/09/2012  05/14/2012       12178.51
6070697393            04/09/2012  05/14/2012           6.96
6670610002            04/09/2012  05/14/2012          94.15
6855697501            04/09/2012  05/14/2012         228.70
7199264891            04/09/2012  05/14/2012         101.54
7236357500            04/09/2012  05/14/2012        2811.64
7320592509            04/09/2012  05/14/2012          46.31
7448178173            04/09/2012  05/14/2012          88.76
7835036513            04/09/2012  05/14/2012        1627.77
8515290008            04/09/2012  05/14/2012         558.02
8525402502            04/09/2012  05/14/2012         137.41
8954752245            04/09/2012  05/14/2012          41.72
8965342507            04/09/2012  05/14/2012          29.64
9091146192            04/09/2012  05/14/2012         212.41
9216886433            04/09/2012  05/14/2012          48.12

72 VA Dominion Invoices for a Total Invoice Amount of $139432.99

72 Total Alexandria Invoices for a Total Invoice Amount of $139432.99

Organization:   Total

72 Total Invoices for a Total Invoice Amount of $139432.99

