AccountCode,StartDate(YYYYMMDD),EndDate(YYYYMMDD),A/C/E,MeterCode,CONTROLCODE,DUEDATE,STATEMENTDATE,INVOICENUMBER,*Mtr Number,*Utility Name,*Facility Name,*Service Address,*Tariff,*Ledger,*Commodity,MULTIPLIERUSE:VALUE:Prev Reading,MULTIPLIERUSE:VALUE:Current Reading,MULTIPLIER:VALUE:Multiplier,USE:KWH,BILLEDUSAGE:KWH:Billed Usage,USE:THERM,USE:DKTHM,USE:MCF,USE:CCF,USE:MLB,USE:GAL,USE:KGAL,USE:MGAL,CHARGE:USDOLLARS:Usage Charge,ONPEAKUSE:KWH,CHARGE:USDOLLARS:ON PEAK USE CHARGE,MIDPEAKUSE:KWH,CHARGE:USDOLLARS:MID PEAK USE CHARGE,OFFPEAKUSE:KWH,CHARGE:USDOLLARS:OFF PEAK USE CHARGE,GENERATIONUSE:KWH:SUPPLY KWH,CHARGE:USDOLLARS:ELEC SUPPLY CHARGE,WELLHEADUSE:CCF,WELLHEADUSE:MCF,WELLHEADUSE:THERM,FACILITYCHARGE:USDOLLARS:Facility Charge,CHARGE:USDOLLARS:Gas Supply Charge,CHARGE:USDOLLARS:Distribution Charge,CHARGE:USDOLLARS:Generation Charge,CHARGE:USDOLLARS:Transmission Charge,CHARGE:USDOLLARS:Procurement Credit,USE:KWH:Outdoor Lighting,CHARGE:USDOLLARS:Outdoor Lighting Charge,DEMAND:KW: Actual (Metered) Demand,DEMAND:KW:Maximum Demand,DISTDEMAND:KW:Billed Distribution Demand,CHARGE:USDOLLARS:Distribution Demand Charge,DEMAND:THERM:Delivery Demand Charge,CHARGE:USDOLLARS:Delivery Demand Charge,BILLEDDEMAND:KW,CHARGE:USDOLLARS:Demand Charge,ONPEAKDEM:KW,CHARGE:USDOLLARS:ON PEAK DEM CHARGE,MIDPEAKDEM:KW,CHARGE:USDOLLARS:MID PEAK DEM CHARGE,OFFPEAKDEM:KW,CHARGE:USDOLLARS:OFF PEAK DEM CHARGE,REACTIVEDEMAND:KVAR,CHARGE:USDOLLARS:REACTIVE DEM CHARGE,REACTIVEUSE:KVARH:REACTIVE POWER,POWERFACTOR:PERCENT,CHARGE:USDOLLARS:POWERFACTOR,CHARGE:USDOLLARS:CTC,CHARGE:USDOLLARS:FRANCHISE FEE,CHARGE:USDOLLARS:GAS CORE,CHARGE:USDOLLARS,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,CHARGE:USDOLLARS:Rider R Bear Garden Gen Station,CHARGE:USDOLLARS:Rider S Va City Hybrid Energy Ct,CHARGE:USDOLLARS:Rider T Transmission,CHARGE:USDOLLARS:Rider B Biomass Conversions,CHARGE:USDOLLARS:Rider W Warren Co Power Station,CHARGE:USDOLLARS:Rider BW Brunswick Co Pwr Statio,CHARGE:USDOLLARS:Rider GV Greensville Co Pwr Stat,CHARGE:USDOLLARS:Fuel,CHARGE:USDOLLARS:Sales and Use Surcharge,COSTADJUSTCHARGE:USDOLLARS,CUSTOMERCHARGE:USDOLLARS,FUELADJUSTCHARGE:USDOLLARS,STORAGEFEE:USDOLLARS,UTILITYTAX:USDOLLARS,CITYTAX:USDOLLARS,COUNTYTAX:USDOLLARS,MUNICIPALTAX:USDOLLARS,STATETAX:USDOLLARS,TAX:USDOLLARS,LATEFEE:USDOLLARS,DEPOSIT:USDOLLARS,CHARGE:USDOLLARS:PREVIOUS BALANCE,BUDGETBILLING:USDOLLARS,CONNECTCHG:USDOLLARS:Connection Charge,ASSETSALEREFUND:USDOLLARS:Asset Sale Refund,ADJUSTCHG:USDOLLARS:Adjustment Charge,CUSTRPTCHG:USDOLLARS:Custom Report Charge,METERMAINTCHG:USDOLLARS:Meter Maintenance Charge,ONETIMEREFUND:USDOLLARS:One-Time Refund,READING:VALUE:Estimated,*ENDOFRECORD,
2371115839,20151006,20151104,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,788,1,788,,,,,,,,,,,,,,,,,,,,,,,,6.31,25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99,3.29,6.91,0.19,1.95,1.45,17.87,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20151104,20151208,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-1,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,934,1,934,,,,,,,,,,,,,,,,,,,,,,,,7.48,30.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,3.9,8.19,0.22,2.31,1.72,21.18,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20151208,20160108,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-2,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,858,1,858,,,,,,,,,,,,,,,,,,,,,,,,6.87,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,3.59,7.52,0.21,2.12,1.58,19.46,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20160108,20160208,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-3,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,860,1,860,,,,,,,,,,,,,,,,,,,,,,,,6.89,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,3.59,7.54,0.21,2.12,1.58,19.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20160208,20160308,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-4,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,801,1,801,,,,,,,,,,,,,,,,,,,,,,,,6.42,26.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,3.35,7.02,0.19,1.98,1.47,18.17,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20160308,20160407,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-5,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,828,1,828,,,,,,,,,,,,,,,,,,,,,,,,6.63,27.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,3.46,7.26,0.2,2.05,1.52,18.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20160407,20160506,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-6,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,814,1,814,,,,,,,,,,,,,,,,,,,,,,,,6.52,26.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,3.4,7.14,0.2,2.01,1.5,18.46,0.37,,,,,,,,,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20160506,20160607,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-7,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,883,1,883,,,,,,,,,,,,,,,,,,,,,,,,7.07,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,3.69,7.74,0.21,2.18,1.62,20.03,0.41,,,,,,,,,,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20160607,20160707,C,!AUTO!:ELECTRIC,VAP2371115839-01623985-20160713-8,20160812,20160708,2371115839,257770639,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,814,1,814,,,,,,,,,,,,,,,,,,,,,,,,6.52,26.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,3.36,7.07,0.25,1.89,1.5,0.13,18.46,0.38,,6.59,,,,,,,,,,,,,,,,,,,,X, 
2371115839,20151006,20151104,C,,VAP2371115839-01623985-20160713,20160812,20160708,2371115839,,DOMINION VIRGINIA POWER/NORTH CAROLINA POWER,CITY OF ALEXANDRIA,5801 DUKE ST,,GENERAL SERVICES,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1131.71,,,,,-0.06,,,,X, 
