
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 08/09/2017

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0823337506            08/02/2017  09/06/2017          14.88
0850668062            08/02/2017  09/06/2017          12.92
1118501327            08/02/2017  09/06/2017          62.70
1301306682            08/02/2017  09/06/2017          40.23
1765582505            08/02/2017  09/06/2017         584.26
1863767503            08/02/2017  09/06/2017         208.12
1934161330            08/02/2017  09/06/2017          16.35
1973380007            08/02/2017  09/06/2017         308.82
2073392504            08/02/2017  09/06/2017         166.67
2123460004            08/02/2017  09/06/2017          55.90
2154604132            08/02/2017  09/06/2017         406.42
2464858170            08/02/2017  09/06/2017          41.99
3249452008            08/02/2017  09/06/2017          99.40
3341907974            08/02/2017  09/06/2017          44.17
3355630009            08/02/2017  09/06/2017          29.40
3675982502            08/02/2017  09/06/2017          30.05
4287681979            08/02/2017  09/06/2017          38.02
4626102505            08/02/2017  09/06/2017         455.91
4793367501            08/02/2017  09/06/2017         136.07
5033402503            08/02/2017  09/06/2017          13.18
5316252500            08/02/2017  09/06/2017       20998.99
5321630005            08/02/2017  09/06/2017         104.21
5411705006            08/02/2017  09/06/2017         793.87
5593500001            08/02/2017  09/06/2017          28.61
5611957373            08/02/2017  09/06/2017          18.03
5781917504            08/02/2017  09/06/2017          13.38
6124540409            08/02/2017  09/06/2017          94.98
6137557531            08/02/2017  09/06/2017         172.15
6167465670            08/02/2017  09/06/2017          36.13
6433295000            08/02/2017  09/06/2017          43.96
6651850288            08/02/2017  09/06/2017         453.64
6923515008            08/02/2017  09/06/2017         126.51
7005172502            08/02/2017  09/06/2017         794.80
7122056133            08/02/2017  09/06/2017          14.06
7996733445            08/02/2017  09/06/2017          52.82
8702071724            08/02/2017  09/06/2017         375.51
8973730404            08/02/2017  09/06/2017         744.16
9116039182            08/02/2017  09/06/2017          70.31
9598044056            08/02/2017  09/06/2017          13.76
9901598657            08/02/2017  09/06/2017          14.96
9995390003            08/02/2017  09/06/2017         149.68
5246257504            08/03/2017  09/07/2017        4816.57
5348784637            08/03/2017  09/07/2017         -37.25
5431647501            08/03/2017  09/07/2017        6179.08
6533151400            08/03/2017  09/07/2017       25645.45
6611367506            08/03/2017  09/07/2017         303.24
7152308461            08/03/2017  09/07/2017        5877.32
8371427504            08/03/2017  09/07/2017        2883.25
8381307506            08/03/2017  09/07/2017         301.27
9273322504            08/03/2017  09/07/2017        1798.66
9596382508            08/03/2017  09/07/2017       28596.28
0215490004            08/04/2017  09/08/2017          75.32
0851910000            08/04/2017  09/08/2017         991.11
1704970001            08/04/2017  09/08/2017         313.58
2186032500            08/04/2017  09/08/2017        1796.08
2752013074            08/04/2017  09/08/2017          -2.53
2959751336            08/04/2017  09/08/2017           0.88
3033837505            08/04/2017  09/08/2017         120.06
3419594464            08/04/2017  09/08/2017        5355.13
3870683699            08/04/2017  09/08/2017           1.33
4676162508            08/04/2017  09/08/2017        2209.08
5265675008            08/04/2017  09/08/2017         180.51
5837025922            08/04/2017  09/08/2017          -2.36
6395925008            08/04/2017  09/08/2017         594.31
6604225000            08/04/2017  09/08/2017          -2.07
7568833136            08/04/2017  09/08/2017           1.26
8486060000            08/04/2017  09/08/2017         445.08
8555470007            08/04/2017  09/08/2017          91.19
9006000005            08/04/2017  09/08/2017         120.54
9026057506            08/04/2017  09/08/2017         510.98
9423383257            08/04/2017  09/08/2017         339.66
9581789907            08/04/2017  09/08/2017          -0.01
0313545006            08/07/2017  09/11/2017           0.50
1122287962            08/07/2017  09/11/2017          27.46
1156320002            08/07/2017  09/11/2017         305.47
1545407502            08/07/2017  09/11/2017          24.98
1856265002            08/07/2017  09/11/2017         950.85
4006384632            08/07/2017  09/11/2017         -19.66
4452642962            08/07/2017  09/11/2017        2891.25
4696475005            08/07/2017  09/11/2017        7176.82
6414967502            08/07/2017  09/11/2017           0.71
6626365008            08/07/2017  09/11/2017        2385.72
7146330001            08/07/2017  09/11/2017         938.20
7352631019            08/07/2017  09/11/2017        -148.33
8703872054            08/07/2017  09/11/2017        -125.19
8955365005            08/07/2017  09/11/2017         696.47

86 VA Dominion Invoices for a Total Invoice Amount of $132488.23

86 Total Alexandria Invoices for a Total Invoice Amount of $132488.23


Organization:   Total

86 Total Invoices for a Total Invoice Amount of $132488.23

