
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 11/13/2019

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0442731477            11/05/2019  12/10/2019          66.40
0662927573            11/05/2019  12/10/2019        2706.72
0979288487            11/05/2019  12/10/2019          58.93
1043295003            11/05/2019  12/10/2019          23.47
1312808247            11/05/2019  12/10/2019          39.70
2040619443            11/05/2019  12/10/2019        6014.16
2174476057            11/05/2019  12/10/2019          85.04
2225822507            11/05/2019  12/10/2019         241.01
2371115839            11/05/2019  12/10/2019          61.40
2923347955            11/05/2019  12/10/2019          94.37
3092500747            11/05/2019  12/10/2019          35.18
3103257501            11/05/2019  12/10/2019         216.73
3104883701            11/05/2019  12/10/2019        4497.39
3470617501            11/05/2019  12/10/2019          92.91
4802659823            11/05/2019  12/10/2019        9790.91
5680981221            11/05/2019  12/10/2019          17.18
6318036420            11/05/2019  12/10/2019          37.30
6670610002            11/05/2019  12/10/2019          93.11
6855697501            11/05/2019  12/10/2019         211.57
7236357500            11/05/2019  12/10/2019        2684.96
7320592509            11/05/2019  12/10/2019          50.57
7352631019            11/05/2019  12/10/2019        2792.38
7835036513            11/05/2019  12/10/2019         763.14
8118282899            11/05/2019  12/10/2019           7.54
8659213329            11/05/2019  12/10/2019          37.58
8954752245            11/05/2019  12/10/2019          46.29
8965342507            11/05/2019  12/10/2019         214.00
9091146192            11/05/2019  12/10/2019         169.68
9216886433            11/05/2019  12/10/2019          39.79
9628787443            11/05/2019  12/10/2019          44.97
4032400121            11/06/2019  12/11/2019         651.86
5863539630            11/06/2019  12/11/2019        2030.78
6070697393            11/06/2019  12/11/2019          22.30
6265845005            11/06/2019  12/11/2019         850.61
6904957500            11/06/2019  12/11/2019         237.04
7199264891            11/06/2019  12/11/2019          59.38
7448178173            11/06/2019  12/11/2019         157.32
7800570009            11/06/2019  12/11/2019         449.06
7852141840            11/06/2019  12/11/2019        1636.35
0668286057            11/07/2019  12/12/2019          54.56
0865355002            11/07/2019  12/12/2019          93.32
0875041303            11/07/2019  12/12/2019          21.65
0886617919            11/07/2019  12/12/2019          27.02
0899594022            11/07/2019  12/12/2019          49.63
0906461793            11/07/2019  12/12/2019          17.90
0917312621            11/07/2019  12/12/2019          14.97
0925594723            11/07/2019  12/12/2019          24.07
0939811717            11/07/2019  12/12/2019          40.22
0949361505            11/07/2019  12/12/2019          23.97
0957987662            11/07/2019  12/12/2019          21.13
0962345666            11/07/2019  12/12/2019          44.21
1030506974            11/07/2019  12/12/2019          11.52
1338347873            11/07/2019  12/12/2019          45.56
1847312228            11/07/2019  12/12/2019          91.22
1951810769            11/07/2019  12/12/2019         118.76
2278126202            11/07/2019  12/12/2019          46.93
2342127509            11/07/2019  12/12/2019         331.34
2596065009            11/07/2019  12/12/2019         117.52
3004480236            11/07/2019  12/12/2019          24.18
4543627956            11/07/2019  12/12/2019           8.79
4914616190            11/07/2019  12/12/2019          11.00
5606496759            11/07/2019  12/12/2019           6.59
5722222501            11/07/2019  12/12/2019         222.37
5737778562            11/07/2019  12/12/2019         204.78
6372590007            11/07/2019  12/12/2019          25.12
6555515433            11/07/2019  12/12/2019          20.18
7214212743            11/07/2019  12/12/2019          10.89
7900412268            11/07/2019  12/12/2019         133.25
7976345004            11/07/2019  12/12/2019        1505.10
8395777488            11/07/2019  12/12/2019         188.01
8781417566            11/07/2019  12/12/2019         792.70
9163056071            11/07/2019  12/12/2019           7.54
9864369971            11/07/2019  12/12/2019          35.73
0104237722            11/08/2019  12/13/2019        2082.57
0457904522            11/08/2019  12/13/2019         702.14
0853450005            11/08/2019  12/13/2019         381.49
0943037010            11/08/2019  12/13/2019          10.26
1513230001            11/08/2019  12/13/2019         152.71
1606240008            11/08/2019  12/13/2019        7383.63
2532394059            11/08/2019  12/13/2019         103.33
3110640004            11/08/2019  12/13/2019         450.74
4926320674            11/08/2019  12/13/2019         327.65
5413067249            11/08/2019  12/13/2019         366.94
8245865004            11/08/2019  12/13/2019        1795.39
8485977501            11/08/2019  12/13/2019         727.94
9271454192            11/08/2019  12/13/2019        1064.59
9523688605            11/08/2019  12/13/2019         808.43
9936644005            11/08/2019  12/13/2019          10.17

88 VA Dominion Invoices for a Total Invoice Amount of $58088.79

88 Total Alexandria Invoices for a Total Invoice Amount of $58088.79


Organization:   Total

88 Total Invoices for a Total Invoice Amount of $58088.79

