DateTime,Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2016-08-24 00:52:00,2016-08-24,12:52 AM,72,60,66,SW,3,0,30.28,0.0,Fair
2016-08-24 01:52:00,2016-08-24,1:52 AM,71,61,70,SW,3,0,30.27,0.0,Fair
2016-08-24 02:52:00,2016-08-24,2:52 AM,70,63,78,S,5,0,30.27,0.0,Fair
2016-08-24 03:52:00,2016-08-24,3:52 AM,70,63,78,CALM,0,0,30.26,0.0,Fair
2016-08-24 04:52:00,2016-08-24,4:52 AM,68,63,84,SW,5,0,30.26,0.0,Fair
2016-08-24 05:52:00,2016-08-24,5:52 AM,69,62,78,SSW,3,0,30.28,0.0,Partly Cloudy
2016-08-24 06:52:00,2016-08-24,6:52 AM,68,62,81,SW,3,0,30.29,0.0,Partly Cloudy
2016-08-24 07:52:00,2016-08-24,7:52 AM,71,63,75,SSW,6,0,30.30,0.0,Partly Cloudy
2016-08-24 08:52:00,2016-08-24,8:52 AM,74,61,64,SSW,9,0,30.30,0.0,Fair
2016-08-24 09:52:00,2016-08-24,9:52 AM,78,62,58,S,9,0,30.29,0.0,Fair
2016-08-24 10:52:00,2016-08-24,10:52 AM,80,64,58,S,13,0,30.28,0.0,Partly Cloudy
2016-08-24 11:52:00,2016-08-24,11:52 AM,82,62,51,S,12,0,30.27,0.0,Partly Cloudy
2016-08-24 12:52:00,2016-08-24,12:52 PM,83,64,53,S,12,0,30.25,0.0,Mostly Cloudy
2016-08-24 13:52:00,2016-08-24,1:52 PM,84,65,53,S,12,0,30.23,0.0,Partly Cloudy
2016-08-24 14:52:00,2016-08-24,2:52 PM,85,65,51,S,13,0,30.21,0.0,Mostly Cloudy
2016-08-24 15:52:00,2016-08-24,3:52 PM,84,65,53,SSE,10,0,30.19,0.0,Mostly Cloudy
2016-08-24 16:52:00,2016-08-24,4:52 PM,86,66,51,S,13,0,30.17,0.0,Mostly Cloudy
2016-08-24 17:52:00,2016-08-24,5:52 PM,83,66,56,S,9,0,30.17,0.0,Mostly Cloudy
2016-08-24 18:52:00,2016-08-24,6:52 PM,83,66,56,S,12,0,30.15,0.0,Mostly Cloudy
2016-08-24 19:52:00,2016-08-24,7:52 PM,81,66,60,S,12,0,30.16,0.0,Mostly Cloudy
2016-08-24 20:52:00,2016-08-24,8:52 PM,78,65,64,S,13,0,30.18,0.0,Cloudy
2016-08-24 21:52:00,2016-08-24,9:52 PM,77,62,60,S,10,0,30.17,0.0,Fair
2016-08-24 22:52:00,2016-08-24,10:52 PM,76,62,62,S,13,0,30.17,0.0,Fair
2016-08-24 23:52:00,2016-08-24,11:52 PM,74,63,68,SSW,10,0,30.17,0.0,Fair
